AnimalName,symptoms1,symptoms2,symptoms3,symptoms4,symptoms5,Dangerous,AnimalClass,Симптомы_рус
birds,Balance problem,Abdominal destention,Neck Paralysis,Weight loss,Pains,Yes,птица,"Проблема с балансом, Брюшная растяжение, Паралич шеи, Потеря веса, Боли"
birds,Legness,Paresis,Coughing,Weight loss,Shortness of breath,Yes,птица,"Нога, Парез, Кашель, Потеря веса, Одышка"
birds,Fever,Sour Throat,Mortality,Muscle aches,Abnormalities,Yes,птица,"Высокая температура, Кислое горло, Смертность, Мышечные боли, Аномалии"
birds,Difficulty in feeding,Preening,Weakness,Beak overgrowth,Anemia,Yes,птица,"Сложность в кормлении, Притягивать, Слабость, Избыточный рост клюва, Анемия"
birds,Fever,Loss of appetite,Ear infection,Depression,Nasal Discharge,Yes,птица,"Высокая температура, Потеря аппетита, Ушная инфекция, Депрессия, Носовая выделение"
birds,Forthy eye,Torticollis,Weakness,Swelling,Emaciation,Yes,птица,"Краткий глаз, Кривошея, Слабость, Припухлость, Истощение"
birds,Inappentence,Diarrhea,Tremors of the head,Dehydration,Weight loss,Yes,птица,"Неподходящее, Диарея, Толчок головы, Обезвоживание, Потеря веса"
birds,Lack of walking,Lack of flying,Roughened,Dehydration,Pains,Yes,птица,"Отсутствие ходьбы, Отсутствие полета, Шероховатый, Обезвоживание, Боли"
birds,Skin rashes,Small and yellow bumps,Swelling,Dry Scabs,Lameness,Yes,птица,"Кожная сыпь, Маленькие и желтые удары, Припухлость, Сухие струпки, Хромота"
birds,Scabs On feet,Redness ,Trachea,Thickening of skin,Pains,Yes,птица,"Скабсы на ногах, Покраснение, Трахея, Утолщение кожи, Боли"
birds,Enlarged Thymus,Obstructed Lungs,Lethargy,Skin rashes,Weight loss,Yes,птица,"Увеличенный тимус, Затрудненные легкие, Летаргия, Кожная сыпь, Потеря веса"
birds,Fluffed Feather,Loss of appetite,Coughing,Vomiting,Snoring,Yes,птица,"Пухлое перо, Потеря аппетита, Кашель, Рвота, Храп"
birds,Fever,Difficultty in Breathing,Yellow Eye,Sneezing,Diphtherictic,Yes,птица,"Высокая температура, Трудность в дыхании, Желтый глаз, Чихание, Дифтериктический"
birds,Heavy Breathing,Yellow in beak,Tail_Bobbing,Weakness,Sleeping Excessively,Yes,птица,"Тяжелое дыхание, Желтый в клюве, Tail_bobbing, Слабость, Спать чрезмерно"
birds,Puffed_up Feather,Less Eat,Headache,Half-closed eye,Seizures,Yes,птица,"Пухлый перо, Меньше еды, Головная боль, Полузакрытый глаз, Припадки"
birds,Fever,Diarrhea,Swollen Abdomen,Vomiting,Difficulty in Breathing,Yes,птица,"Высокая температура, Диарея, Опухший живот, Рвота, Трудность в дыхании"
birds,Tail Wagging,Straining,Lethargy,Weakness,Diarrhea,Yes,птица,"Хвост виляет, Напряжение, Летаргия, Слабость, Диарея"
birds,Overweight,Loss of Appetite,Ruffled feathers,Depression,Diarrhea,Yes,птица,"Избыточный вес, Потеря аппетита, Рюшат перья, Депрессия, Диарея"
birds,Dejection,Loss of Appetite,Stress,Coughing,Pains,Yes,птица,"Уныние, Потеря аппетита, Стресс, Кашель, Боли"
birds,Skin infection,Secondary Infection,Coughing,Depression,Shaking oh head,Yes,птица,"Кожная инфекция, Вторичная инфекция, Кашель, Депрессия, Стремление головы"
birds,Discharge From eyes,Lethargy,Coughing,Sneezing,Fatique,Yes,птица,"Выброс из глаз, Летаргия, Кашель, Чихание, Фатик"
birds,Fever,Chills,Retarded Growth,Chest Pain,Chest Pain,Yes,птица,"Высокая температура, Озноб, Отсталый рост, Боль в груди, Боль в груди"
birds,Pale comb,Lame,Death,Swolling of joint,Eye closed,Yes,птица,"Бледный расчет, Хромой, Смерть, Отек сустава, Глаз закрыт"
birds,Lethargy,Loss of appetite,Difficulty in Swallowing,Weakness,Vision Problem,Yes,птица,"Летаргия, Потеря аппетита, Сложность в глотании, Слабость, Проблема зрения"
birds,Emaciation,Difficulty in breathing,Vomiting,Weakness,Diarrhea,Yes,птица,"Истощение, Трудность в дыхании, Рвота, Слабость, Диарея"
birds,Liquid Dropping,Exhaustion,Ataxia,Lethargy,Seizures,Yes,птица,"Жидкость падает, Истощение, Атаксия, Летаргия, Припадки"
birds,Undigested in their feces,Loss of Appetite,Loss of pigment,Weakness,Bloody in feather,Yes,птица,"Непереваренные в их кале, Потеря аппетита, Потеря пигмента, Слабость, Кровавый в перьев"
birds,Sharp Feather,Clubbed Feather,Eye disharge,Loss of powder down,Diarrhea,Yes,птица,"Острые перо, Забитое перо, Сброс глаз, Потеря порошка вниз, Диарея"
birds,Ruffled Appearance,Loss of Appetite,Vomiting,Green Dropping,Nasal Discharge,Yes,птица,"Рюшат, Потеря аппетита, Рвота, Зеленый падение, Носовая выделение"
birds,Sinuses,Swollen Eyelids,Skin rashes,Sneezing,Misshapen Beak,Yes,птица,"Пазухи, Опухшие веки, Кожная сыпь, Чихание, Средства"
birds,Feather Loss,Feather Plucking,Coughing,Itching,Nasal Discharge,Yes,птица,"Потеря перья, Пехой склад, Кашель, Зуд, Носовая выделение"
birds,Watery Eyes,Eye closed,Weight loss,Sneezing,Nervous Issue,Yes,птица,"Водянистые глаза, Глаз закрыт, Потеря веса, Чихание, Нервная проблема"
birds,Bony Lesion,Skin Rashes,Ataxia,Anorexia,Weakness,Yes,птица,"Костное поражение, Кожная сыпь, Атаксия, Анорексия, Слабость"
birds,Tremor of head and neck,Blindness,Kicking at the belly,Exercise in tolerance,Pains,Yes,птица,"Тремор головы и шеи, Слепота, Пинать в живот, Упражнения в терпимости, Боли"
sheep,Swollen Belly,Dullness,Discharge,Urination,Lying down,Yes,хомячок,"Опухший живот, Тупость, Увольнять, Мочеиспускание, Лежа"
sheep,Fever,Dullness,Depression,Weight loss,Anorexia,Yes,хомячок,"Высокая температура, Тупость, Депрессия, Потеря веса, Анорексия"
sheep,Fever,Succumb,Spread of infection,Weight loss,Anorexia,Yes,хомячок,"Высокая температура, Поддаться, Распространение инфекции, Потеря веса, Анорексия"
sheep,Signs in rams,Signs in ewe,Underdeveloped muscles,Semen Examination,Reduce Lamp marking,Yes,хомячок,"Знаки в Рамсе, Знаки в овце, Недоразвитые мышцы, Экзамен спермы, Уменьшить маркировку лампы"
sheep,Spines,Unusally thin,Weakness,Enlarged skulls,Weakness,Yes,хомячок,"Шипы, Необычно тонкий, Слабость, Увеличенные черепа, Слабость"
sheep,Discharge ,Sudden Abortion,Hemoglobinuria,Death of lamb,Weight Loss,Yes,хомячок,"Увольнять, Внезапный аборт, Гемоглобинурия, Смерть ягненка, Потеря веса"
sheep,Fever,Hemolytic anemia,Sweats,congestion,Jaundice,Yes,хомячок,"Высокая температура, Гемолитическая анемия, Пот, скопление, Желтуха"
sheep,Fever,Tiredness,loss of appetite,Muscle aches,Chest Pain,Yes,хомячок,"Высокая температура, Усталость, потеря аппетита, Мышечные боли, Боль в груди"
sheep,Excess salivation,Diarrhea,Depression,Nasal discharge,Weakness,Yes,хомячок,"Избыточное слюноотделение, Диарея, Депрессия, Носовая выделение, Слабость"
sheep,Fever,Diarrhea,Incoordination,Abortion,Blood Poisioning ,Yes,хомячок,"Высокая температура, Диарея, Нарушение, Аборт, Отравление крови"
sheep,Fever,Wasting,Dehydration,Deability,Weakness,Yes,хомячок,"Высокая температура, Впустую, Обезвоживание, Девственность, Слабость"
sheep,Fever,Diarrhea,Muscle twiching,Lameness,Weight loss,Yes,хомячок,"Высокая температура, Диарея, Мышечная подергивание, Хромота, Потеря веса"
sheep,Teeth griding,Apathy,Dehydration,Ruminal stasis,Watery faeces,No,хомячок,"Зубы шлифование, Апатия, Обезвоживание, Румана, Водянистые фекалии"
sheep,Fever,Depression,Lying down,Weak Pulse,Colic,Yes,хомячок,"Высокая температура, Депрессия, Лежа, Слабый пульс, Колики"
sheep,Swelling,Lameness,Hyperaestesia,Hock joint,Weight loss,Yes,хомячок,"Припухлость, Хромота, Гиперээзтерия, Шарнир, Потеря веса"
sheep,Head tilt,Circling,Muscles ache,Blindness,Seizures,Yes,хомячок,"Наклон головы, Кругим, Мышцы болится, Слепота, Припадки"
sheep,Decreased growth of bone,Depression,Grunting,Lameness,Weight loss,Yes,хомячок,"Снижение роста кости, Депрессия, Ворчание, Хромота, Потеря веса"
sheep,Swollen left abdomen,Lying Down,Staggering,Urination,Extension of neck,Yes,хомячок,"Опухший влево живот, Лежа, Ошеломляющий, Мочеиспускание, Расширение шеи"
sheep,Cessation of eructation,Difficulty in breathing,Depression,Anorexia,Colic,Yes,хомячок,"Прекращение эрекции, Трудность в дыхании, Депрессия, Анорексия, Колики"
sheep,Fever,Excession Salivation,Abnormal conformation,Ulcerated muscle,Ulcerated ear,Yes,хомячок,"Высокая температура, Избыток слюна, Ненормальная конформация, Изъязвленная мышца, Язвенный ухо"
sheep,Barren ewes,Abortion,Poor conformation,Hairy Fleeces,Weight loss,Yes,хомячок,"Бесплодные овцы, Аборт, Плохая конформация, Волосатые ручки, Потеря веса"
sheep,Tremor ,Viability,Coughing,Anorexia,Weight Loss,Yes,хомячок,"Тремор, Жизнеспособность, Кашель, Анорексия, Потеря веса"
sheep,Fever,Tachypea,Swelling of head and neck,Anorexia,Nasal Discharge,Yes,хомячок,"Высокая температура, Тахипноя, Отек головы и шеи, Анорексия, Носовая выделение"
sheep,lllthrift,Skin Lesion,Lameness,Swelling on theBody,Weight loss,Yes,хомячок,"Lllthrift, Повреждение кожи, Хромота, Отек на теле, Потеря веса"
sheep,Swelling,Heat,Flank,Pain,Nasal Discharge,Yes,хомячок,"Припухлость, Нагревать, Фланг, Боль, Носовая выделение"
sheep,Fever,Loss of appetite,Lameness,Rump,Weight Loss,Yes,хомячок,"Высокая температура, Потеря аппетита, Хромота, Навес, Потеря веса"
sheep,Fever,Swelling,loss of appetite,Anorexia,Weight Loss,Yes,хомячок,"Высокая температура, Припухлость, потеря аппетита, Анорексия, Потеря веса"
sheep,Fever,Diarrhea,Bloody droping,Abdominal discomfort,Lethargy,Yes,хомячок,"Высокая температура, Диарея, Кровавый падение, Брюшная дискомфорт, Летаргия"
sheep,Fever,Depression,Small intestines,Death,Flock Moratality,Yes,хомячок,"Высокая температура, Депрессия, Тонкая кишка, Смерть, Смертность стада"
sheep,haemorrhage,Straw colored,Abdominal pain,Death,Carcass decomposes,Yes,хомячок,"кровотечение, Соломенная, Боль в животе, Смерть, Камни разлагается"
sheep,Bloody Diarhhea,Depression,Dullness,Death,Weakness,Yes,хомячок,"Кровавая диарея, Депрессия, Тупость, Смерть, Слабость"
sheep,Reluctant Move,Loss of Appetite,Lameness,Death,Weakness,Yes,хомячок,"Неохотный ход, Потеря аппетита, Хромота, Смерть, Слабость"
sheep,Fever,Depression,loss of appetite,Loss of appetite,Pains,Yes,хомячок,"Высокая температура, Депрессия, потеря аппетита, Потеря аппетита, Боли"
sheep,Fever,Difficulty in breathing,Lethargy,Death,Pains,Yes,хомячок,"Высокая температура, Трудность в дыхании, Летаргия, Смерть, Боли"
sheep,Poor wool,Loss of Appetite,Lameness,Small size,Poor Body condition,Yes,хомячок,"Бедная шерсть, Потеря аппетита, Хромота, Небольшой размер, Плохое состояние тела"
sheep,Poor immune function,Achomotrica,Dehydration,Death,Pains,Yes,хомячок,"Плохая иммунная функция, Ахомотрика, Обезвоживание, Смерть, Боли"
sheep,Abdominal pain,Diarrhea,Malpresentation,Shock,Anorexia,Yes,хомячок,"Боль в животе, Диарея, Злоупотребление, Шок, Анорексия"
sheep,Fetopelvic dispropotion,Uteria inertia,Despression,Death,Pains,Yes,хомячок,"Фетопельвич диспропорция, Матка инерция, Депрессия, Смерть, Боли"
sheep,Watery Diarrhea dispropotion,Sick,Corneal Ulceration,Loss of appetite,Death,Yes,хомячок,"Водянистая диарея, Больной, Язва роговицы, Потеря аппетита, Смерть"
sheep,Severe kerititis,Conjunctive,Discharge,Iris prolapse,Loss of eye,Yes,хомячок,"Тяжелый кератит, Конъюнктивное, Увольнять, Выпадение радужной оболочки, Потеря глаз"
sheep,Swollen,Testical Pain,Itches,Bloody discharge,Tenderness,Yes,хомячок,"Вздутый, Яичка боли, Зуд, Кровавые выписки, Нежность"
sheep,Fever,Diarrhea,Depression,Scratches,Weight Loss,Yes,хомячок,"Высокая температура, Диарея, Депрессия, Царапины, Потеря веса"
sheep,Foul Smelling,Dullness,Dirty,Stained Wool,Tail shaking,Yes,хомячок,"Грязное пахнет, Тупость, Грязный, Окрашенная шерсть, Хвост встряхивая"
sheep,Sheep often bites,Fleece become thin,Loss of wool,Death,Pains,Yes,хомячок,"Овцы часто кусаются, Флис становится худым, Потеря шерсти, Смерть, Боли"
sheep,Fever,Dullness,Dullness,Skin Rashes,Pains,Yes,хомячок,"Высокая температура, Тупость, Тупость, Кожная сыпь, Боли"
sheep,Fever,Difficulty in breathing,Rub,Coughing,Sneezing,Yes,хомячок,"Высокая температура, Трудность в дыхании, Втирать, Кашель, Чихание"
sheep,Restlessness,Kick,Lethargy,Nible at their wool,Scratching,Yes,хомячок,"Беспокойство, Пинать, Летаргия, Nible в их шерсти, Царапание"
sheep,Jaundice,Loss of appetite,Rough Hair coat,Coughing,Death,Yes,хомячок,"Желтуха, Потеря аппетита, Грубая шерсть, Кашель, Смерть"
sheep,Fever,Reduce Reproductive potential,Agalactia,Loss of milk production,Sloughing of the tail,Yes,хомячок,"Высокая температура, Уменьшить репродуктивный потенциал, Агалактия, Потеря производства молока, Хвост"
sheep,Pyrexia,Oral lesion,Swelling,Lameness,Death,Yes,хомячок,"Пирексия, Оральное поражение, Припухлость, Хромота, Смерть"
sheep,Red skin,Loss of appetite,Moist,Lameness,Pains,Yes,хомячок,"Красная кожа, Потеря аппетита, Влажный, Хромота, Боли"
sheep,Limping,Skin colour change,Flabby,Raw,Sensitive to touch,Yes,хомячок,"Хромающий, Изменение цвета кожи, Дряблый, Сырой, Чувствителен к прикосновению"
sheep,Groosly enlarged,Skin may thicken,Convulsion,Edematous,Pains,Yes,хомячок,"Сильно увеличено, Кожа может сгуститься, Судорога, Edematous, Боли"
sheep,Hyperexcitability,Muscular Spasms,Gums,Death,Pains,Yes,хомячок,"Гиперксуальность, Мышечные спазмы, Десны, Смерть, Боли"
sheep,Decreased eyelid,Very cold skin,Lethargy,Lip,Fever,Yes,хомячок,"Снижение века, Очень холодная кожа, Летаргия, Губа, Высокая температура"
sheep,Fever,Diarrhea,Muscus,Weight loss,Death,Yes,хомячок,"Высокая температура, Диарея, Мускус, Потеря веса, Смерть"
sheep,Foul Smelling,Diarrhea,Colic,Bloody discharge,Blood Clots,Yes,хомячок,"Грязное пахнет, Диарея, Колики, Кровавые выписки, Кровавые сгустки"
sheep,Inability to digest,Diarrhea,Dehydration,Weight loss,Anemia,Yes,хомячок,"Неспособность переваривать, Диарея, Обезвоживание, Потеря веса, Анемия"
sheep,Fever,Diarrhea,Pot belly,Death,Loss of appettite,Yes,хомячок,"Высокая температура, Диарея, Горшок живот, Смерть, Потеря аппетита"
sheep,Emaciation,Diarrhea,Coughing,Weight loss,Death,Yes,хомячок,"Истощение, Диарея, Кашель, Потеря веса, Смерть"
sheep,Respiratory distress,Diarrhea,Death,Reduce milk ,Weight loss,Yes,хомячок,"Респираторный дистресс, Диарея, Смерть, Уменьшить молоко, Потеря веса"
sheep,lllthrift,Bottle jaw,Strange behaviour,Aneamia,Jaundice,Yes,хомячок,"Lllthrift, Бутылка челюсть, Странное поведение, Анемия, Желтуха"
sheep,Fever,Lameness,Wasting,Blindness,Staggering,Yes,хомячок,"Высокая температура, Хромота, Впустую, Слепота, Ошеломляющий"
sheep,Fever,Diarrhea,Clearly unthrifty,Weight loss,Good appetite,Yes,хомячок,"Высокая температура, Диарея, Явно неограничен, Потеря веса, Хороший аппетит"
sheep,Fever,Dullness,Relunctance to walk,Infected navels,Pains,Yes,хомячок,"Высокая температура, Тупость, Нежелание ходить, Зараженные навицы, Боли"
sheep,Tenderness,Foot Hot,Facial Paralysis,Weight loss,Pains,Yes,хомячок,"Нежность, Нога горячо, Паралич лица, Потеря веса, Боли"
sheep,Fever,Lack of coordination,Painfull to touch,Circling,Depression,Yes,хомячок,"Высокая температура, Отсутствие координации, Больно прикоснуться, Кругим, Депрессия"
sheep,Swollen,Warm,Constipation,Depression,Bloody,Yes,хомячок,"Вздутый, Теплый, Запор, Депрессия, Кровавый"
sheep,Fever,Loss of appetite,Stumbling,Restlessness,Pains,Yes,хомячок,"Высокая температура, Потеря аппетита, Спотыкается, Беспокойство, Боли"
sheep,Unsteady Gait,Twitching,Blindness,Swelling on joints,Pains,Yes,хомячок,"Нестационарная походка, Дергается, Слепота, Отек на суставах, Боли"
sheep,Fever,Ulcer,Scabs,Discharge from eye,Pains,Yes,хомячок,"Высокая температура, Язва, Spabs, Разряд из глаз, Боли"
sheep,Smell of ammonia,Ulcer,Depression,Swelling,Pains,Yes,хомячок,"Запах аммиака, Язва, Депрессия, Припухлость, Боли"
sheep,Fever,Lethargy,Blindness,Inappentence,Increased in breathing,Yes,хомячок,"Высокая температура, Летаргия, Слепота, Неподходящее, Увеличился в дыхании"
sheep,Wandering,Circling,Blindness,Head Pressing,Recumbency,Yes,хомячок,"Блуждание, Кругим, Слепота, Нажатие на голову, Лежат"
sheep,Tremors,Lying on the side,Difficulty in Swallowing,Death,Not eating,Yes,хомячок,"Тремор, Лежать на стороне, Сложность в глотании, Смерть, Не есть"
sheep,Fever,Difficulty in breathing,Coughing,Sneezing,Seizures,Yes,хомячок,"Высокая температура, Трудность в дыхании, Кашель, Чихание, Припадки"
sheep,Swelling,Loss of appetite,Wool loss,Tears,Death,Yes,хомячок,"Припухлость, Потеря аппетита, Потеря шерсти, Слезы, Смерть"
sheep,Wool is clumped,Feels stiff,Staggering,Skin Rashes,Pains,Yes,хомячок,"Шерсть сгущается, Чувствует себя жестким, Ошеломляющий, Кожная сыпь, Боли"
sheep,Swaying,Behaviour change,Tremor,Jerky limb movements,Pains,Yes,хомячок,"Покачиваясь, Изменение поведения, Тремор, Деревенские движения конечностей, Боли"
sheep,Cell Damage,Behaviour change,Weight loss,Pruritis,Death,Yes,хомячок,"Повреждение ячейки, Изменение поведения, Потеря веса, Прорит, Смерть"
sheep,Swelling,Discomfort,Difficulty in rising,Death,Pains,Yes,хомячок,"Припухлость, Дискомфорт, Сложность в районе, Смерть, Боли"
sheep,Swollen,Hot joints,Pustulses,Difficulty in Walk,Pains,Yes,хомячок,"Вздутый, Горячие суставы, Пустульсы, Сложность в прогулке, Боли"
sheep,Formation of vesicles,Nostrils,Abnormally long leg,Scabs on lip,Pains,Yes,хомячок,"Формирование везикул, Ноздри, Ненормально длинная нога, Скабсы на губе, Боли"
sheep,Skeleten abnormalities,Facial defects,Hair loss,Flat ribs,Underdeveloped muscles,Yes,хомячок,"Аномалии скелет, Лицевые дефекты, Выпадение волос, Плоские ребра, Недоразвитые мышцы"
sheep,Wether restless,Kicking,Normal appetite,Attempt to urinate,Pains,Yes,хомячок,"Погода беспокойна, Ног, Нормальный аппетит, Попытка мочиться, Боли"
sheep,Inability to stand ,Pains to Walk,Depression,Weakness,Stiffness,Yes,хомячок,"Неспособность стоять, Боли ходить, Депрессия, Слабость, Жесткость"
sheep,Fever,Succumb,Sluggish,Anorexia,Pains,Yes,хомячок,"Высокая температура, Поддаться, Вялый, Анорексия, Боли"
sheep,Listless,Bottle jaw,Malpresentation,Death,Oxygen defiency,Yes,хомячок,"Вялый, Бутылка челюсть, Злоупотребление, Смерть, Недостаток кислорода"
sheep,Fever,Swelling,Bloody,Death,Anemia,Yes,хомячок,"Высокая температура, Припухлость, Кровавый, Смерть, Анемия"
sheep,Thivk skin,Crusty,Scaly skin,Lesion,Pains,Yes,хомячок,"Толстая кожа, Хрустящий, Чешуйчатая кожа, Поражение, Боли"
sheep,Fever,Abortion,Vomiting,Weight loss,Anorexia,Yes,хомячок,"Высокая температура, Аборт, Рвота, Потеря веса, Анорексия"
sheep,Dizzines,Anemia,Vomiting,Head ache,Nausea,Yes,хомячок,"Головокружение, Анемия, Рвота, Головная боль, Тошнота"
sheep,Fever,Wool loss,Swelling,Weight loss,Pains,Yes,хомячок,"Высокая температура, Потеря шерсти, Припухлость, Потеря веса, Боли"
sheep,Tear production,Anversion to light,Bluish white opacity,Blindness,Pains,Yes,хомячок,"Слезное производство, Отвращение к свету, Голубоватая белая непрозрачность, Слепота, Боли"
sheep,Fever,Swelling,Lameness,Heat,Pains,Yes,хомячок,"Высокая температура, Припухлость, Хромота, Нагревать, Боли"
sheep,Skin color change,Crusty,Scaly skin,Irritation,Blister,Yes,хомячок,"Изменение цвета кожи, Хрустящий, Чешуйчатая кожа, Раздражение, Волдырь"
sheep,Radip onset,Stiff,Muscle Trembling,Weakness,Death,Yes,хомячок,"Быстрое начало, Жесткий, Мышцы дрожат, Слабость, Смерть"
sheep,Head Shking,Discharge from ear,Scartching ear,Odor to Ear,Redness on ear,Yes,хомячок,"Встряхивая голова, Выписка от уха, Царапает ухо, Запах на ухо, Покраснение на ухе"
sheep,Discharge From eyes,Redness of eye,Blindness,Scartches,Pains,Yes,хомячок,"Выброс из глаз, Покраснение глаз, Слепота, Царапины, Боли"
sheep,Fever,Loss of Appetite,Scartches,Death,Pains,Yes,хомячок,"Высокая температура, Потеря аппетита, Царапины, Смерть, Боли"
sheep,Discomfort,Loss of Appetite,Bloody Diarrhea,Profuse,Pains,Yes,хомячок,"Дискомфорт, Потеря аппетита, Кровавая диарея, Обильный, Боли"
sheep,Swelling,Larynx,Swelling on jaw,Hoarseness,Neck Vein Swelling,Yes,хомячок,"Припухлость, Гортань, Отек на челюсти, Охриплость, Набухание вены шеи"
sheep,Inflammation ,Discomfort,Kicking at the belly,Urine infection,Pains,Yes,хомячок,"Воспаление, Дискомфорт, Пинать в живот, Инфекция мочи, Боли"
sheep,Isolation from flock,Stealing ,Nesting behaviour,Pawing at bedding,Pains,Yes,хомячок,"Изоляция от стада, Кража, Гнездование поведения, Лапа у постельных принадлежностей, Боли"
sheep,Listless,Difficulty in walking,Grinding of teeth,Blindness,Ataxia,Yes,хомячок,"Вялый, Трудности в ходьбе, Шлифование зубов, Слепота, Атаксия"
sheep,Bluish white opacity,Aversion to light,Tear produce,Blindness,weakness,Yes,хомячок,"Голубоватая белая непрозрачность, Отвращение к свету, Слезоточивая продукция, Слепота, слабость"
sheep,Head tossing,Wool loss,Fast breathing,Bleeding wounds,Skin issue,Yes,хомячок,"Голова бросает, Потеря шерсти, Быстрое дыхание, Кровоточащие раны, Проблема кожи"
pig,Coughing ,panting,"facial swelling,",Production of mucus,Fatigue,Yes,хомячок,"Кашель , задыхаясь, отек лица,, Производство слизи, Усталость"
fowl,cough,sneeze,droopy wings,twisted neck,droopy wings,Yes,птица,"кашель, чихание, Овапки крылья, Скрученная шея, Овапки крылья"
duck,Shortness of breath.,Fatigue,chirping,loss of appetite,swollen abdomen,Yes,птица,"Одышка., Усталость, щебетать, потеря аппетита, опухший живот"
otherbirds,Gasping,coughing ,mild weakness,droopy wings,twisted neck,Yes,хомячок,"Задыхаясь, кашель , легкая слабость, Овапки крылья, Скрученная шея"
pig,Excessive blood loss,dizziness and fainting,Blurry vision,watery eyes,slow growth,Yes,хомячок,"Чрезмерная кровопотеря, головокружение и обморок, Нечеткое зрение, водянистые глаза, медленный рост"
fowl,Nosebleed ,Trauma,mild weakness,Nose picking,Dry air,Yes,птица,"Нос кровоточа , Травма, легкая слабость, Нос, Сухой воздух"
duck,Bleeding from other parts of the body,confusion,Nasal discharge,loss of alertness, dizziness and fainting,Yes,птица,"Кровотечение из других частей тела, путаница, Носовая выделение, потеря бдительности, головокружение и обморок"
otherbirds,Bad breath,Pawing at the face or nose,cough ,Sneezing,Bleeding from the nose,Yes,хомячок,"Плохо дыхание, Лап на лице или нос, кашель , Чихание, Кровотечение из носа"
fowl,extending its neck,gasping for air,gasping for breath,difficulty swallowing,gasping for breath,Yes,птица,"вытягивая шею, Задыхаясь для воздуха, задыхаясь за дыхание, Сложность глотания, задыхаясь за дыхание"
duck,difficulty swallowing,cough ,difficulty swallowing,gasping for air,extending its neck,Yes,птица,"Сложность глотания, кашель , Сложность глотания, Задыхаясь для воздуха, вытягивая шею"
otherbirds,cough ,gasping for air,Weight loss,gasping for breath,extending its neck,Yes,хомячок,"кашель , Задыхаясь для воздуха, Потеря веса, задыхаясь за дыхание, вытягивая шею"
pig,weakness,decreased stool production,distended stomach,heavy breathing,restless movement,Yes,хомячок,"слабость, Снижение производства стула, Расставленный желудок, тяжелое дыхание, беспокойное движение"
fowl,Eye redness,Frequent eye Infections,Crusty eye lashes and matting of eyelashes,foul smelling stools, increased passing gas,Yes,птица,"Глаза покраснение, Частые глазные инфекции, Хрустящие ресницы и маты ресниц, грязные пахнущие табуреты,  Увеличение проходящего газа"
duck,Excessive eye watering,Eye redness,weakness,Mucus discharge from the eye,Frequent eye Infections,Yes,птица,"Чрезмерное водопад, Глаза покраснение, слабость, Слизистые сбросы с глаз, Частые глазные инфекции"
otherbirds,Sudden death,loss of appetite, rapid heartbeats,fluffed feathers,lack of vocalizations,Yes,хомячок,"Внезапная смерть, потеря аппетита,  быстрое сердцебиение, пухлые перья, Отсутствие вокализации"
fowl,unable to urinate,Lightheadedness ,droopiness,rectal bleeding,swollen abdomen,Yes,птица,"Невозможно мочиться, Легкомысленность , погружение, ректальное кровотечение, опухший живот"
duck,Extreme thirst,bloody discharge,Loss of appetite,inability to fly,loss of wariness,Yes,птица,"Крайняя жажда, кровавые выписки, Потеря аппетита, неспособность летать, потеря настороженности"
otherbirds,Egg production stops,Broody behavior,loss of appetite,Weight loss,Constipation,Yes,хомячок,"Производство яиц останавливается, Поведение задумчиво, потеря аппетита, Потеря веса, Запор"
fowl,nausea,vomiting,loss of appetite,experiencing changes in weight, pain and bloating,Yes,птица,"тошнота, рвота, потеря аппетита, переживание изменений в весе,  боль и вздутие живота"
duck,burning ache or pain,vomiting,loss of appetite,experiencing changes in weight, pain and bloating,Yes,птица,"сжигание боли или боль, рвота, потеря аппетита, переживание изменений в весе,  боль и вздутие живота"
otherbirds,Continuous loss of weight,Regurgitation of food,wheezing,Excessive food intake,Undigested seeds,Yes,хомячок,"Непрерывная потеря веса, Регургитация еды, хрипил, Чрезмерное потребление пищи, Непереваренные семена"
snake,loss of appetite,lathargy,abortion,gurgling sound,Depression,Yes,хомячок,"потеря аппетита, летаргия, аборт, булькающий звук, Депрессия"
horse,fever,mild colic,loss of tail tone,loss of appetite,depression,Yes,хомячок,"высокая температура, мягкий колик, потеря хвостового тона, потеря аппетита, депрессия"
horse,head tilt,lathargy,lathargy,urine dribbling,inability to rise,Yes,хомячок,"наклон головы, летаргия, летаргия, моча дриблинг, неспособность подняться"
horse,fever,loss of appetite,respiratory noise,Weight loss,depression,Yes,хомячок,"высокая температура, потеря аппетита, дыхательный шум, Потеря веса, депрессия"
horse,fever,nasal discharge,muscular stiffness,swollen lymph nodes,depression,Yes,хомячок,"высокая температура, носовая выделение, мышечная жесткость, опухшие лимфатические узлы, депрессия"
horse,sweating,muscular spasms,thirst,Weight loss,difficulty moving and eating,Yes,хомячок,"потоотделение, мышечные спазмы, жажда, Потеря веса, трудности с движением и едой"
duck,loss of appetite,high body temperaure,lack of appetite,diarrhea,sudden death,Yes,птица,"потеря аппетита, высокая температура тела, Отсутствие аппетита, диарея, внезапная смерть"
donkey,sweating,dry or tacky gums,reduced appetite,lying down,dull ness,Yes,хомячок,"потоотделение, сухие или липкие десны, Уменьшенный аппетит, лежа, скучный Несс"
donkey,outstretched neck,dull ness,inappetence,noisy breathing,coughing,Yes,хомячок,"Вытянутая шея, скучный Несс, непристойность, шумное дыхание, кашель"
